Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount,Unnamed: 8
04/09/2021,Sell,EXC,EXELON CORP,0.0665,$45.00,,$2.99,
04/09/2021,Sell,EXC,EXELON CORP,2.0,$45.00,,$90.00,
04/01/2021,NRA Tax Adj,PPL,PPL CORP,,,,-$0.20,
04/01/2021,Qualified Dividend,PPL,PPL CORP,,,,$1.31,
03/30/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,1.0,$18.35,,-$18.35,
03/29/2021,NRA Tax Adj,SCHA,SCHWAB US SMALL CAP ETF,,,,-$0.20,
03/29/2021,Cash Dividend,SCHA,SCHWAB US SMALL CAP ETF,,,,$1.30,
03/29/2021,NRA Tax Adj,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,-$0.22,
03/29/2021,Cash Dividend,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,$1.46,
03/25/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,1.0,$19.00,,-$19.00,
03/24/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,1.0,$19.64,,-$19.64,
03/22/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,1.0,$20.14,,-$20.14,
03/18/2021,Sell,PPL,PPL CORP,0.165,$29.57,,$4.88,
03/18/2021,Sell,PPL,PPL CORP,3.0,$29.57,,$88.71,
03/17/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,1.0,$20.90,,-$20.90,
03/16/2021,Reinvest Shares,EXC,EXELON CORP,0.0154,$42.96899,,-$0.66,
03/16/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,2.0,$21.45,,-$42.90,
03/15/2021,NRA Tax Adj,EXC,EXELON CORP,,,,-$0.12,
03/15/2021,Qual Div Reinvest,EXC,EXELON CORP,,,,$0.78,
03/08/2021,Sell,C,CITIGROUP INC,0.0639,$72.00,,$4.60,
03/08/2021,Sell,C,CITIGROUP INC,2.0,$72.00,,$144.00,
03/04/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,4.0,$19.30,,-$77.20,
03/04/2021,Buy,TTCF,TATTOOED CHEF INC CLASS A,2.0,$19.50,,-$39.00,
03/01/2021,Reinvest Shares,C,CITIGROUP INC,0.0129,$68.9068,,-$0.89,
03/01/2021,Buy,DBX,DROPBOX INC,2.0,$23.00,,-$46.00,
02/26/2021,NRA Tax Adj,C,CITIGROUP INC,,,,-$0.16,
02/26/2021,Qual Div Reinvest,C,CITIGROUP INC,,,,$1.05,
02/22/2021,Buy,DBX,DROPBOX INC,1.0,$22.4999,,-$22.50,
02/19/2021,Buy,DBX,DROPBOX INC,1.0,$23.60,,-$23.60,
02/19/2021,Buy,DBX,DROPBOX INC,1.0,$23.60,,-$23.60,
02/18/2021,Sell,DBX,DROPBOX INC,1.0,$24.4301,,$24.43,
02/18/2021,Buy,DBX,DROPBOX INC,1.0,$24.40,,-$24.40,
02/16/2021,Sell,DHT,DHT MARITIME HLD INC F,0.3336,$6.20,,$2.07,
02/16/2021,Sell,DHT,DHT MARITIME HLD INC F,36.0,$6.20,,$223.20,
02/05/2021,Sell,CCL,CARNIVAL CORP F,11.0,$21.5936,$0.01,$237.52,
02/02/2021,Reinvest Shares,CVS,CVS HEALTH CORP,0.042,$72.1264,,-$3.03,
02/02/2021,Reinvest Shares,T,A T & T INC,0.3647,$28.7117,,-$10.47,
02/01/2021,NRA Tax Adj,CVS,CVS HEALTH CORP,,,,-$0.54,
02/01/2021,Qual Div Reinvest,CVS,CVS HEALTH CORP,,,,$3.57,
02/01/2021,NRA Tax Adj,T,A T & T INC,,,,-$1.85,
02/01/2021,Qual Div Reinvest,T,A T & T INC,,,,$12.32,
01/28/2021,Buy,T,A T & T INC,1.0,$28.8679,,-$28.87,
01/28/2021,Sell,AAL,AMERICAN AIRLS GROUP,2.0,$18.00,,$36.00,
01/28/2021,Buy,AAL,AMERICAN AIRLS GROUP,2.0,$21.00,,-$42.00,
01/27/2021,Buy,T,A T & T INC,1.0,$29.30,,-$29.30,
01/26/2021,Buy,T,A T & T INC,1.0,$29.1979,,-$29.20,
01/21/2021,Buy,DBX,DROPBOX INC,1.0,$21.944,,-$21.94,
01/21/2021,Buy,DBX,DROPBOX INC,1.0,$21.99,,-$21.99,
01/21/2021,Buy,DBX,DROPBOX INC,2.0,$21.8899,,-$43.78,
01/20/2021,Buy,DBX,DROPBOX INC,2.0,$22.1085,,-$44.22,
01/19/2021,Buy,DBX,DROPBOX INC,2.0,$21.71,,-$43.42,
01/13/2021,Buy,DBX,DROPBOX INC,2.0,$22.30,,-$44.60,
01/06/2021,NRA Tax Adj,HPE,HEWLETT PACKARD ENTERPRI,,,,-$0.20,
01/06/2021,Qualified Dividend,HPE,HEWLETT PACKARD ENTERPRI,,,,$1.36,
01/05/2021,Reinvest Shares,PPL,PPL CORP,0.0397,$27.6773,,-$1.10,
01/04/2021,NRA Tax Adj,PPL,PPL CORP,,,,-$0.20,
01/04/2021,Qual Div Reinvest,PPL,PPL CORP,,,,$1.30,
01/04/2021,Buy,DBX,DROPBOX INC,1.0,$21.97,,-$21.97,
01/04/2021,Sell,CRUS,CIRRUS LOGIC INC,2.0,$85.00,,$170.00,
01/04/2021,Sell,BAC,BANK OF AMERICA CORP,0.0893,$30.475,,$2.72,
01/04/2021,Sell,BAC,BANK OF AMERICA CORP,5.0,$30.475,,$152.38,
01/04/2021,Sell,GE,GENERAL ELECTRIC CO,0.0536,$10.71,,$0.57,
12/28/2020,Reinvest Shares,BAC,BANK OF AMERICA CORP,0.0253,$30.4494,,-$0.77,
12/28/2020,Buy,T,A T & T INC,1.0,$28.51,,-$28.51,
12/28/2020,Sell,HPE,HEWLETT PACKARD ENTERPRI,0.3513,$11.785,,$4.14,
12/28/2020,Sell,HPE,HEWLETT PACKARD ENTERPRI,11.0,$11.785,,$129.64,
12/28/2020,Buy,TTCF,TATTOOED CHEF INC CLASS A,2.0,$23.41,,-$46.82,
12/28/2020,Buy,DBX,DROPBOX INC,2.0,$23.83,,-$47.66,
12/24/2020,NRA Tax Adj,BAC,BANK OF AMERICA CORP,,,,-$0.14,
12/24/2020,Qual Div Reinvest,BAC,BANK OF AMERICA CORP,,,,$0.91,
12/17/2020,Buy,T,A T & T INC,1.0,$29.60,,-$29.60,
12/15/2020,NRA Tax Adj,SCHA,SCHWAB US SMALL CAP ETF,,,,-$0.27,
12/15/2020,Cash Dividend,SCHA,SCHWAB US SMALL CAP ETF,,,,$1.82,
12/15/2020,NRA Tax Adj,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,-$0.29,
12/15/2020,Cash Dividend,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,$1.91,
12/11/2020,Reinvest Shares,EXC,EXELON CORP,0.0161,$41.0798,,-$0.66,
12/10/2020,NRA Tax Adj,EXC,EXELON CORP,,,,-$0.12,
12/10/2020,Qual Div Reinvest,EXC,EXELON CORP,,,,$0.78,
11/27/2020,Reinvest Shares,DHT,DHT MARITIME HLD INC F,1.3071,$5.36295,,-$7.01,
11/27/2020,Reinvest Shares,C,CITIGROUP INC,0.0156,$56.4164,,-$0.88,
11/25/2020,Reinvest Dividend,DHT,DHT MARITIME HLD INC F,,,,$7.01,
11/25/2020,NRA Tax Adj,C,CITIGROUP INC,,,,-$0.16,
11/25/2020,Qual Div Reinvest,C,CITIGROUP INC,,,,$1.04,
11/03/2020,Reinvest Shares,CVS,CVS HEALTH CORP,0.0503,$59.8203,,-$3.01,
11/03/2020,Reinvest Shares,T,A T & T INC,0.3255,$27.6485,,-$9.00,
11/02/2020,NRA Tax Adj,CVS,CVS HEALTH CORP,,,,-$0.53,
11/02/2020,Qual Div Reinvest,CVS,CVS HEALTH CORP,,,,$3.54,
11/02/2020,NRA Tax Adj,T,A T & T INC,,,,-$1.59,
11/02/2020,Qual Div Reinvest,T,A T & T INC,,,,$10.59,
10/27/2020,Reinvest Shares,GE,GENERAL ELECTRIC CO,0.0536,$7.2769,,-$0.39,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,0.0573,$7.15,,$0.41,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,1.0,$7.15,,$7.15,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,15.0,$7.15,,$107.25,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,1.0,$7.15,,$7.15,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,28.0,$7.15,,$200.20,
10/27/2020,Sell,GE,GENERAL ELECTRIC CO,1.0,$7.15,,$7.15,
10/26/2020,Qual Div Reinvest,GE,GENERAL ELECTRIC CO,,,,$0.46,
10/26/2020,NRA Tax Adj,GE,GENERAL ELECTRIC CO,,,,-$0.07,
10/19/2020,Buy,T,A T & T INC,1.0,$27.00,,-$27.00,
10/08/2020,Reinvest Shares,HPE,HEWLETT PACKARD ENTERPRI,0.1149,$10.00957,,-$1.15,
10/07/2020,NRA Tax Adj,HPE,HEWLETT PACKARD ENTERPRI,,,,-$0.20,
10/07/2020,Qual Div Reinvest,HPE,HEWLETT PACKARD ENTERPRI,,,,$1.35,
10/02/2020,Reinvest Shares,PPL,PPL CORP,0.0393,$27.7284,,-$1.09,
10/01/2020,NRA Tax Adj,PPL,PPL CORP,,,,-$0.19,
10/01/2020,Qual Div Reinvest,PPL,PPL CORP,,,,$1.28,
09/28/2020,NRA Tax Adj,SCHA,SCHWAB US SMALL CAP ETF,,,,-$0.25,
09/28/2020,Cash Dividend,SCHA,SCHWAB US SMALL CAP ETF,,,,$1.69,
09/28/2020,NRA Tax Adj,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,-$0.49,
09/28/2020,Cash Dividend,SCHV,SCHWAB US LARGE CAP VALUE ETF,,,,$3.27,
09/28/2020,Reinvest Shares,BAC,BANK OF AMERICA CORP,0.0319,$24.10883,,-$0.77,
09/25/2020,NRA Tax Adj,BAC,BANK OF AMERICA CORP,,,,-$0.14,
09/25/2020,Qual Div Reinvest,BAC,BANK OF AMERICA CORP,,,,$0.91,
09/21/2020,Buy,T,A T & T INC,1.0,$28.35,,-$28.35,
09/14/2020,Sell,FL,FOOT LOCKER INC,0.07400000000000001,$35.79,,$2.65,
09/14/2020,Sell,FL,FOOT LOCKER INC,5.0,$35.79,,$178.95,
09/11/2020,Reinvest Shares,EXC,EXELON CORP,0.0181,$35.8612,,-$0.65,
09/10/2020,NRA Tax Adj,EXC,EXELON CORP,,,,-$0.12,
09/10/2020,Qual Div Reinvest,EXC,EXELON CORP,,,,$0.77,
09/09/2020,Buy,T,A T & T INC,1.0,$29.43,,-$29.43,
09/03/2020,Reinvest Shares,DHT,DHT MARITIME HLD INC F,2.9175,$5.28195,,-$15.41,
09/02/2020,Reinvest Dividend,DHT,DHT MARITIME HLD INC F,,,,$15.41,
09/01/2020,Buy,T,A T & T INC,1.0,$29.52,,-$29.52,
08/31/2020,Reinvest Shares,C,CITIGROUP INC,0.0171,$51.4337,,-$0.88,
08/28/2020,NRA Tax Adj,C,CITIGROUP INC,,,,-$0.15,
08/28/2020,Qual Div Reinvest,C,CITIGROUP INC,,,,$1.03,
08/24/2020,Buy,CVS,CVS HEALTH CORP,1.0,$63.4681,,-$63.47,
08/18/2020,Buy,CRUS,CIRRUS LOGIC INC,1.0,$59.22,,-$59.22,
08/18/2020,Buy,CRUS,CIRRUS LOGIC INC,1.0,$59.60,,-$59.60,
08/17/2020,Buy,CCL,CARNIVAL CORP F,1.0,$14.7276,,-$14.73,
08/14/2020,Sell,RCL,ROYAL CARIBBEAN GROUP F,2.0,$60.3101,,$120.62,
08/04/2020,Reinvest Shares,CVS,CVS HEALTH CORP,0.0397,$64.7484,,-$2.57,
08/04/2020,Reinvest Shares,T,A T & T INC,0.223,$30.0416,,-$6.70,
08/03/2020,NRA Tax Adj,CVS,CVS HEALTH CORP,,,,-$0.45,
08/03/2020,Qual Div Reinvest,CVS,CVS HEALTH CORP,,,,$3.02,
08/03/2020,NRA Tax Adj,T,A T & T INC,,,,-$1.18,
08/03/2020,Qual Div Reinvest,T,A T & T INC,,,,$7.88,
07/28/2020,Reinvest Shares,GE,GENERAL ELECTRIC CO,0.0573,$6.8066,,-$0.39,
07/28/2020,Buy,T,A T & T INC,1.0,$29.66,,-$29.66,
07/27/2020,Qual Div Reinvest,GE,GENERAL ELECTRIC CO,,,,$0.46,
07/27/2020,NRA Tax Adj,GE,GENERAL ELECTRIC CO,,,,-$0.07,
07/09/2020,Buy,T,A T & T INC,1.0,$29.51,,-$29.51,
07/02/2020,Reinvest Shares,PPL,PPL CORP,0.0403,$26.5336,,-$1.07,
